;borough;year;population;like;retweet;reply;post_length;post_type_image;post_type_text;post_type_video;entries;avg_like;avg_retweet;avg_reply;Q131;Q133
61;Hillingdon;2018;309926;3364.0;821.0;290.0;165.1204481792717;192.0;130.0;39.0;361;9.318559556786704;2.2742382271468142;0.8033240997229917;1.504;1.8906666666666667
62;Hillingdon;2019;312567;2070.0;708.0;138.0;200.34944237918216;222.0;15.0;32.0;269;7.695167286245353;2.6319702602230484;0.5130111524163569;1.4381720430107527;1.846774193548387
63;Hillingdon;2020;316253;3490.0;1087.0;181.0;197.92842942345925;394.0;54.0;55.0;503;6.938369781312128;2.1610337972167;0.35984095427435386;1.5702005730659025;1.7650429799426934
64;Hounslow;2017;274970;3385.0;1919.0;350.0;112.44158075601376;361.0;163.0;59.0;583;5.806174957118353;3.2915951972555746;0.6003430531732419;1.7714285714285714;2.0317460317460316
65;Hounslow;2018;278264;2974.0;1339.0;198.0;168.7699680511182;224.0;36.0;53.0;313;9.501597444089457;4.277955271565495;0.6325878594249201;1.5630026809651474;1.8793565683646112
66;Hounslow;2019;281339;1624.0;779.0;132.0;189.44912280701757;200.0;37.0;48.0;285;5.698245614035088;2.7333333333333334;0.4631578947368421;1.5603217158176943;1.8579088471849865
67;Hounslow;2020;284358;2589.0;753.0;181.0;193.2608695652174;234.0;50.0;38.0;322;8.040372670807454;2.3385093167701863;0.562111801242236;1.5710144927536231;1.8202898550724638
68;Islington;2017;235370;1961.0;3933.0;282.0;112.71511627906976;59.0;116.0;1.0;176;11.142045454545455;22.34659090909091;1.6022727272727273;1.4075235109717867;1.8777429467084639
69;Islington;2018;238267;4646.0;3058.0;761.0;189.820189274448;109.0;203.0;6.0;318;14.61006289308176;9.616352201257861;2.393081761006289;1.3477088948787062;1.7735849056603774
70;Islington;2019;241589;3229.0;1669.0;308.0;213.77981651376143;49.0;56.0;4.0;109;29.623853211009173;15.311926605504587;2.8256880733944953;1.2647058823529411;1.532085561497326
71;Islington;2020;242827;2785.0;1745.0;391.0;232.49305555555557;53.0;77.0;16.0;146;19.075342465753426;11.952054794520548;2.6780821917808217;1.4747774480712166;1.7121661721068249
72;Kensington and Chelsea;2017;157954;825.0;628.0;245.0;94.2842105263158;68.0;222.0;2.0;292;2.8253424657534247;2.1506849315068495;0.839041095890411;1.5938566552901023;1.8088737201365188
73;Kensington and Chelsea;2018;159301;1046.0;508.0;153.0;163.32777777777778;62.0;108.0;11.0;181;5.779005524861878;2.8066298342541436;0.8453038674033149;1.5518292682926829;1.850609756097561
74;Kensington and Chelsea;2019;160531;1887.0;476.0;153.0;170.13793103448276;52.0;59.0;6.0;117;16.128205128205128;4.068376068376068;1.3076923076923077;1.4415204678362572;1.6754385964912282
75;Kensington and Chelsea;2020;160794;798.0;220.0;48.0;208.2622950819672;30.0;18.0;14.0;62;12.870967741935484;3.5483870967741935;0.7741935483870968;1.2435897435897436;1.5769230769230769
76;Kingston upon Thames;2017;178419;7703.0;3524.0;773.0;99.30666666666669;124.0;233.0;18.0;375;20.541333333333334;9.397333333333334;2.0613333333333332;1.5974842767295598;1.8238993710691824
77;Kingston upon Thames;2018;179581;776.0;722.0;181.0;194.02564102564105;33.0;40.0;5.0;78;9.948717948717949;9.256410256410257;2.3205128205128207;1.5626666666666666;1.832
78;Kingston upon Thames;2019;180598;3246.0;1295.0;261.0;161.87857142857143;100.0;165.0;21.0;286;11.34965034965035;4.527972027972028;0.9125874125874126;1.4671916010498687;1.8005249343832022
79;Kingston upon Thames;2020;182728;3297.0;910.0;313.0;189.21518987341773;97.0;248.0;54.0;399;8.263157894736842;2.280701754385965;0.7844611528822055;1.6467236467236468;1.7863247863247864
80;Lambeth;2017;331157;13296.0;8581.0;1709.0;124.640434192673;655.0;766.0;57.0;1478;8.99594046008119;5.805818673883627;1.1562922868741543;1.522184300341297;1.8498293515358362
81;Lambeth;2018;334724;7298.0;5641.0;734.0;186.35730337078647;312.0;127.0;7.0;446;16.36322869955157;12.647982062780269;1.6457399103139014;1.3646723646723646;1.7207977207977208
82;Lambeth;2019;338028;3337.0;2639.0;335.0;216.8217054263566;159.0;96.0;9.0;264;12.640151515151516;9.996212121212121;1.268939393939394;1.363905325443787;1.6923076923076923
83;Lambeth;2020;340324;11536.0;4732.0;1329.0;191.7558139534884;154.0;348.0;16.0;518;22.27027027027027;9.135135135135135;2.5656370656370657;1.3810888252148996;1.6217765042979944
84;Lewisham;2017;306380;10422.0;6274.0;1099.0;106.8201871657754;603.0;880.0;23.0;1506;6.920318725099602;4.1660026560424965;0.7297476759628154;1.4867549668874172;1.804635761589404
85;Lewisham;2018;310324;11813.0;5152.0;1145.0;167.68027210884352;158.0;275.0;10.0;443;26.665914221218962;11.629796839729119;2.584650112866817;1.3361344537815125;1.7366946778711485
86;Lewisham;2019;314027;2308.0;1129.0;314.0;206.75;40.0;61.0;4.0;105;21.98095238095238;10.752380952380953;2.9904761904761905;1.355140186915888;1.7601246105919004
87;Lewisham;2020;317465;4099.0;1856.0;306.0;194.24137931034485;120.0;135.0;41.0;296;13.847972972972974;6.27027027027027;1.0337837837837838;1.3805309734513274;1.6725663716814159
88;Merton;2017;208225;4574.0;2335.0;438.0;104.46796657381616;319.0;372.0;46.0;737;6.2062415196743554;3.1682496607869743;0.5943012211668928;1.5917721518987342;1.9113924050632911
89;Merton;2018;209421;2600.0;1157.0;282.0;159.4689265536723;128.0;203.0;25.0;356;7.303370786516854;3.25;0.7921348314606742;1.569482288828338;1.88283378746594
90;Merton;2019;210452;2523.0;1039.0;168.0;202.51821862348177;119.0;106.0;22.0;247;10.214574898785425;4.206477732793522;0.680161943319838;1.441253263707572;1.8198433420365536
91;Merton;2020;212658;1992.0;923.0;248.0;188.7586956521739;185.0;210.0;67.0;462;4.311688311688312;1.9978354978354977;0.5367965367965368;1.563953488372093;1.747093023255814
92;Newham;2017;347448;4748.0;3962.0;471.0;118.47038327526133;269.0;300.0;7.0;576;8.243055555555555;6.878472222222222;0.8177083333333334;1.391304347826087;1.6889632107023411
93;Newham;2018;353245;9359.0;3955.0;1082.0;164.6012396694215;401.0;555.0;20.0;976;9.589139344262295;4.052254098360656;1.1086065573770492;1.453781512605042;1.8067226890756303
94;Newham;2019;359470;4117.0;1800.0;599.0;178.67558528428094;181.0;112.0;11.0;304;13.542763157894736;5.921052631578948;1.9703947368421053;1.4092219020172911;1.7319884726224783
95;Newham;2020;363552;4507.0;1372.0;572.0;182.27892561983472;188.0;233.0;73.0;494;9.123481781376519;2.777327935222672;1.1578947368421053;1.4405797101449276;1.6985507246376812
96;Redbridge;2017;303887;2039.0;1578.0;136.0;111.25690607734806;266.0;97.0;7.0;370;5.510810810810811;4.264864864864865;0.3675675675675676;1.5900621118012421;1.8509316770186335
97;Redbridge;2018;305910;1608.0;3823.0;122.0;150.16267942583733;172.0;56.0;9.0;237;6.784810126582278;16.130801687763714;0.5147679324894515;1.4373333333333334;1.6666666666666667
98;Redbridge;2019;307690;1288.0;701.0;87.0;162.12735849056602;138.0;54.0;27.0;219;5.8812785388127855;3.2009132420091326;0.3972602739726027;1.439153439153439;1.7222222222222223
99;Redbridge;2020;312264;2905.0;1715.0;360.0;132.57629427792915;429.0;240.0;106.0;775;3.7483870967741937;2.2129032258064516;0.4645161290322581;1.472779369627507;1.6246418338108883
100;Richmond upon Thames;2017;197988;3408.0;2155.0;447.0;108.66974169741698;218.0;316.0;9.0;543;6.276243093922652;3.9686924493554327;0.8232044198895028;1.4921630094043887;1.8401253918495297
101;Richmond upon Thames;2018;199419;1371.0;926.0;192.0;142.61216730038024;89.0;160.0;14.0;263;5.212927756653992;3.5209125475285172;0.7300380228136882;1.4712041884816753;1.8350785340314135
