;year;gender;race;borough;mean_Q131;mean_Q133;count;total_surveys_borough;proportion_subgroup;Q131_Q133_avg;year;mean_Q131;mean_Q133;count;total_surveys_borough;proportion_subgroup;Q131_Q133_avg;gender_Male;race_Black;race_White;borough_Barnet;borough_Bexley;borough_Brent;borough_Bromley;borough_Camden;borough_Croydon;borough_Ealing;borough_Enfield;borough_Greenwich;borough_Hackney;borough_Hammersmith and Fulham;borough_Haringey;borough_Harrow;borough_Havering;borough_Hillingdon;borough_Hounslow;borough_Islington;borough_Kensington and Chelsea;borough_Kingston upon Thames;borough_Lambeth;borough_Lewisham;borough_Merton;borough_Newham;borough_Redbridge;borough_Richmond upon Thames;borough_Southwark;borough_Sutton;borough_Tower Hamlets;borough_Waltham Forest;borough_Wandsworth;borough_Westminster
49;2017;Female;Black;Islington;1.4285714285714286;1.7142857142857142;21;312;0.0673076923076923;1.5714285714285714;2017;1.4285714285714286;1.7142857142857142;21;312;0.0673076923076923;1.5714285714285714;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
50;2017;Female;Black;Kensington and Chelsea;1.75;1.9166666666666667;12;284;0.04225352112676056;1.8333333333333335;2017;1.75;1.9166666666666667;12;284;0.04225352112676056;1.8333333333333335;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False
51;2017;Female;Black;Kingston upon Thames;1.5;1.0;2;313;0.006389776357827476;1.25;2017;1.5;1.0;2;313;0.006389776357827476;1.25;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False
52;2017;Female;Black;Lambeth;1.6379310344827587;1.9310344827586208;58;280;0.20714285714285716;1.7844827586206897;2017;1.6379310344827587;1.9310344827586208;58;280;0.20714285714285716;1.7844827586206897;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False
53;2017;Female;Black;Lewisham;1.4545454545454546;1.7045454545454546;44;289;0.1522491349480969;1.5795454545454546;2017;1.4545454545454546;1.7045454545454546;44;289;0.1522491349480969;1.5795454545454546;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False
54;2017;Female;Black;Merton;1.8235294117647058;1.8823529411764706;17;308;0.05519480519480519;1.8529411764705883;2017;1.8235294117647058;1.8823529411764706;17;308;0.05519480519480519;1.8529411764705883;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False
55;2017;Female;Black;Newham;1.4285714285714286;1.6;35;295;0.11864406779661017;1.5142857142857142;2017;1.4285714285714286;1.6;35;295;0.11864406779661017;1.5142857142857142;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False
56;2017;Female;Black;Redbridge;1.6923076923076923;1.8461538461538463;13;320;0.040625;1.7692307692307692;2017;1.6923076923076923;1.8461538461538463;13;320;0.040625;1.7692307692307692;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False
57;2017;Female;Black;Southwark;1.360655737704918;1.819672131147541;61;287;0.21254355400696864;1.5901639344262295;2017;1.360655737704918;1.819672131147541;61;287;0.21254355400696864;1.5901639344262295;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False
58;2017;Female;Black;Sutton;1.7142857142857142;1.8571428571428572;7;315;0.022222222222222223;1.7857142857142856;2017;1.7142857142857142;1.8571428571428572;7;315;0.022222222222222223;1.7857142857142856;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False
